transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000009835.1	15.4447	18.9229	14.3193	14.2468	7.95215	13.9971	10.056	0.816327	4.15436	4.2034	8.62395
ENSELUT00000009836.1	0	0.294862	0.384019	0.0351658	0	0	0	0	0	0	0
ENSELUT00000009837.1	98.7791	228.469	50.6443	22.8002	65.8982	233.615	68.6531	105.07	26.3171	28.7123	88.9054
ENSELUT00000009838.1	0	0.1797	0	0.116041	0	0	0.115972	0	0	0	0
ENSELUT00000009839.1	0	0	0.32754	0	0	0	0	0	0	0	0.669561
ENSELUT00000009840.1	0	0	0	1.69972	1.79738	0.196097	0	0	0	0	0
ENSELUT00000009841.1	0	8.20786e-09	1.7097e-07	3.2346e-08	0	0	3.03831e-08	3.99483e-07	0	1.4386e-07	1.9849e-07
ENSELUT00000009842.1	6.57165	12.4341	6.8717	10.2785	4.1305	9.73241	2.70727	1.82709	0.72001	0.237812	11.2253
ENSELUT00000009843.1	0.882056	1.56842	1.07733	1.29594	0.838813	18.2408	1.40008	0.442518	0.102753	0.491392	2.28353
ENSELUT00000009844.1	7.04117	15.516	9.16344	9.89891	7.83312	18.4903	6.26608	1.95688	2.18261	6.62366	18.4867
ENSELUT00000009845.1	9.34864	27.9143	9.41425	7.82777	13.639	7.6042	8.95623	2.4531	1.56269	18.0762	13.6301
ENSELUT00000009846.1	3.03144	1.6498	0.95394	3.33	0.237849	0.256639	0.882932	0.178249	0.0793815	0.193555	0
ENSELUT00000009847.1	2.11578	5.64574	6.10239	3.87073	2.01331	2.27612	4.36998	1.01191	1.58488	1.48568	8.64055
ENSELUT00000009848.1	0	0	0.0324943	0	0.0260592	0.0590214	0.331176	0	0	0.0557672	0.0540977
