Gene stable ID	Transcript stable ID
ENSORLG00000000532	ENSORLT00000000650
ENSORLG00000000533	ENSORLT00000000651
ENSORLG00000000534	ENSORLT00000000657
ENSORLG00000000534	ENSORLT00000000658
ENSORLG00000000535	ENSORLT00000000659
ENSORLG00000000536	ENSORLT00000000660
ENSORLG00000000537	ENSORLT00000000661
ENSORLG00000000538	ENSORLT00000000662
ENSORLG00000000539	ENSORLT00000000663
ENSORLG00000000540	ENSORLT00000000665
ENSORLG00000000540	ENSORLT00000000666
ENSORLG00000000540	ENSORLT00000000668
ENSORLG00000000542	ENSORLT00000000669
ENSORLG00000000543	ENSORLT00000000667
ENSORLG00000000544	ENSORLT00000000670
ENSORLG00000000545	ENSORLT00000000672
ENSORLG00000000546	ENSORLT00000000671
ENSORLG00000000547	ENSORLT00000000673
ENSORLG00000000547	ENSORLT00000000675
ENSORLG00000000548	ENSORLT00000000676
ENSORLG00000000550	ENSORLT00000000678
ENSORLG00000000551	ENSORLT00000000677
ENSORLG00000000553	ENSORLT00000000680
ENSORLG00000000554	ENSORLT00000000681
ENSORLG00000000555	ENSORLT00000000682
ENSORLG00000000556	ENSORLT00000000683
ENSORLG00000000557	ENSORLT00000000684
ENSORLG00000000557	ENSORLT00000000685
ENSORLG00000000558	ENSORLT00000000686
ENSORLG00000000558	ENSORLT00000000690
ENSORLG00000000559	ENSORLT00000000688
ENSORLG00000000559	ENSORLT00000000692
ENSORLG00000000560	ENSORLT00000000687
ENSORLG00000000561	ENSORLT00000000689
ENSORLG00000000562	ENSORLT00000000691
ENSORLG00000000563	ENSORLT00000000693
ENSORLG00000000564	ENSORLT00000000694
ENSORLG00000000565	ENSORLT00000000696
